Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2024Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",11.6
2024Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),3000
2024Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2024Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),2600
2024Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",0.8
2024Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),200
2024Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.5
2024Q2,Capital region,Males,16-74,Unemployed (Estimated number),3700
2024Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.6
2024Q2,Capital region,Males,16-24,Unemployed (Estimated number),1500
2024Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2024Q2,Capital region,Males,25-54,Unemployed (Estimated number),2200
2024Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0
2024Q2,Capital region,Males,55-74,Unemployed (Estimated number),0
2024Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2024Q2,Capital region,Females,16-74,Unemployed (Estimated number),2100
2024Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",10.7
2024Q2,Capital region,Females,16-24,Unemployed (Estimated number),1500
2024Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",0.8
2024Q2,Capital region,Females,25-54,Unemployed (Estimated number),400
2024Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.9
2024Q2,Capital region,Females,55-74,Unemployed (Estimated number),200
2024Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2500
2024Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.6
2024Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1100
2024Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2024Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1100
2024Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.4
2024Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2024Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.1
2024Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),1400
2024Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",8.3
2024Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),600
2024Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2024Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),700
2024Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.2
2024Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2024Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.7
2024Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),1000
2024Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.1
2024Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),400
2024Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2024Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),500
2024Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2024Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),200
2024Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q3,Total,Males and females,16-74,Unemployed (Estimated number),7000
2024Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",6.6
2024Q3,Total,Males and females,16-24,Unemployed (Estimated number),2600
2024Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2024Q3,Total,Males and females,25-54,Unemployed (Estimated number),3500
2024Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2024Q3,Total,Males and females,55-74,Unemployed (Estimated number),900
2024Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.8
2024Q3,Total,Males,16-74,Unemployed (Estimated number),3700
2024Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",4.8
2024Q3,Total,Males,16-24,Unemployed (Estimated number),1000
2024Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q3,Total,Males,25-54,Unemployed (Estimated number),2400
2024Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.2
2024Q3,Total,Males,55-74,Unemployed (Estimated number),300
2024Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2024Q3,Total,Females,16-74,Unemployed (Estimated number),3300
2024Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8.4
2024Q3,Total,Females,16-24,Unemployed (Estimated number),1600
2024Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.6
2024Q3,Total,Females,25-54,Unemployed (Estimated number),1100
2024Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.7
2024Q3,Total,Females,55-74,Unemployed (Estimated number),600
2024Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.8
2024Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),4400
2024Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7
2024Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),1900
2024Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2
2024Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),2000
2024Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.7
2024Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),500
2024Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3
2024Q3,Capital region,Males,16-74,Unemployed (Estimated number),2500
2024Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",6.4
2024Q3,Capital region,Males,16-24,Unemployed (Estimated number),900
2024Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2024Q3,Capital region,Males,25-54,Unemployed (Estimated number),1400
2024Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.5
2024Q3,Capital region,Males,55-74,Unemployed (Estimated number),300
2024Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.7
2024Q3,Capital region,Females,16-74,Unemployed (Estimated number),1900
2024Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",7.5
2024Q3,Capital region,Females,16-24,Unemployed (Estimated number),1000
2024Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.4
2024Q3,Capital region,Females,25-54,Unemployed (Estimated number),600
2024Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2
2024Q3,Capital region,Females,55-74,Unemployed (Estimated number),300
2024Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2024Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2600
2024Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.7
2024Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),700
2024Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.8
2024Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2024Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2
2024Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2024Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.6
2024Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),1200
2024Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",1.9
2024Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),100
2024Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.6
2024Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),1000
2024Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0.7
2024Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2024Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2024Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),1400
2024Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",10.8
2024Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),600
2024Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2
2024Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),500
2024Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.8
2024Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),300
2024Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q4,Total,Males and females,16-74,Unemployed (Estimated number),6800
2024Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.6
2024Q4,Total,Males and females,16-24,Unemployed (Estimated number),3000
2024Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.8
2024Q4,Total,Males and females,25-54,Unemployed (Estimated number),2700
2024Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2024Q4,Total,Males and females,55-74,Unemployed (Estimated number),1100
2024Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q4,Total,Males,16-74,Unemployed (Estimated number),3700
2024Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",7.6
2024Q4,Total,Males,16-24,Unemployed (Estimated number),1400
2024Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2
2024Q4,Total,Males,25-54,Unemployed (Estimated number),1700
2024Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2024Q4,Total,Males,55-74,Unemployed (Estimated number),700
2024Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q4,Total,Females,16-74,Unemployed (Estimated number),3100
2024Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.7
2024Q4,Total,Females,16-24,Unemployed (Estimated number),1600
2024Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.5
2024Q4,Total,Females,25-54,Unemployed (Estimated number),1000
2024Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2024Q4,Total,Females,55-74,Unemployed (Estimated number),400
2024Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.7
2024Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),5700
2024Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.9
2024Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),2300
2024Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.7
2024Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),2700
2024Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.5
2024Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),700
2024Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4
2024Q4,Capital region,Males,16-74,Unemployed (Estimated number),3400
2024Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",9.1
2024Q4,Capital region,Males,16-24,Unemployed (Estimated number),1200
2024Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.1
2024Q4,Capital region,Males,25-54,Unemployed (Estimated number),1700
2024Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.9
2024Q4,Capital region,Males,55-74,Unemployed (Estimated number),500
2024Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.3
2024Q4,Capital region,Females,16-74,Unemployed (Estimated number),2300
2024Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8.6
2024Q4,Capital region,Females,16-24,Unemployed (Estimated number),1100
2024Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2024Q4,Capital region,Females,25-54,Unemployed (Estimated number),1000
2024Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2024Q4,Capital region,Females,55-74,Unemployed (Estimated number),300
2024Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",1.4
2024Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1100
2024Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7.8
2024Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),700
2024Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",0
2024Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),0
2024Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2024Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2024Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",0.9
2024Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),400
2024Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",3
2024Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),100
2024Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",0
2024Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),0
2024Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2024Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2024Q4,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.1
2024Q4,Outside Capital region,Females,16-74,Unemployed (Estimated number),700
2024Q4,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",12.6
2024Q4,Outside Capital region,Females,16-24,Unemployed (Estimated number),600
